Index,Time,l_side.T_wheel,((driven[1])->measure).speed_rads
0,0.000000,0,0
1,0.023000,0,0
2,0.046000,0,0
3,0.071000,0,0
4,0.095000,0,0
5,0.120000,0,0
6,0.152000,0,0
7,0.175000,0,0
8,0.200000,0.00500000035,0
9,0.227000,0.0184999965,0
10,0.250000,0.029999977,0
11,0.274000,0.0419999957,1.68983178e-07
12,0.304000,0.0575000271,7.39965338e-20
13,0.333000,0.0715000555,0.0174455829
14,0.357000,0.0835000798,0.0175045133
15,0.380000,0.0950001031,0.00256792433
16,0.403000,0.107000127,1.69641268e-07
17,0.427000,0.119000152,2.20102901e-17
18,0.454000,0.132500067,0.0174455829
19,0.491000,0.150499836,0.0326300673
20,0.518000,0.163999662,0.0174533185
21,0.555000,0.182499424,0.0174532924
22,0.578000,0.194499269,0.019729808
23,0.602000,0.205999121,0.0349065587
24,0.625000,0.217498973,0.0523011424
25,0.648000,0.228998825,0.0846484751
26,0.671000,0.240498677,0.137006998
27,0.697000,0.253998518,0.325914592
28,0.724000,0.267498344,0.846431851
29,0.748000,0.27949819,1.23565066
30,0.772000,0.291498035,1.98554277
31,0.802000,0.305997849,3.88679075
32,0.831000,0.320497662,3.83188248
33,0.854000,0.331997514,4.69443178
34,0.878000,0.343997359,5.3838172
35,0.902000,0.355997205,6.37289619
36,0.925000,0.36799705,7.39957237
37,0.953000,0.381496876,8.48391819
38,0.982000,0.396496683,9.7262125
39,1.007000,0.408996522,10.8200827
40,1.054000,0.431996226,13.1417637
41,1.077000,0.443496078,14.4827938
42,1.100000,0.456495911,15.8128414
43,1.126000,0.468495756,17.1350212
44,1.150000,0.480495602,18.409647
45,1.174000,0.491995454,19.7556381
46,1.197000,0.503495514,20.9228439
47,1.224000,0.516996145,22.8076878
48,1.247000,0.528996706,24.3776207
49,1.271000,0.540997267,25.8233566
50,1.297000,0.553997874,27.4094639
51,1.330000,0.569998622,29.7096691
52,1.353000,0.581499159,31.4891224
53,1.383000,0.59649986,33.657135
54,1.407000,0.609000444,35.1812668
55,1.437000,0.623501122,37.5609932
56,1.465000,0.637501776,39.8674393
57,1.488000,0.649002314,41.4374008
58,1.512000,0.661502898,43.5318985
59,1.541000,0.676003575,46.0036011
60,1.576000,0.693504393,47.5485497
61,1.601000,0.705504954,48.1795044
62,1.625000,0.718005538,48.0803528
63,1.649000,0.730006099,48.4701157
64,1.672000,0.741506636,48.5631676
65,1.700000,0.755007267,48.3341408
66,1.727000,0.768507898,48.5608215
67,1.753000,0.781508505,48.4039993
68,1.776000,0.793009043,48.4993439
69,1.806000,0.808509767,48.5513382
70,1.835000,0.822510421,48.4523087
71,1.858000,0.834010959,48.6524467
72,1.882000,0.846011519,48.3921852
73,1.907000,0.85801208,48.6280479
74,1.931000,0.870512664,48.7019577
75,1.958000,0.884013295,48.3546448
76,1.983000,0.897013903,48.6151657
77,2.007000,0.90851444,48.5550461
78,2.035000,0.922515094,48.5468178
79,2.062000,0.935515702,48.6901932
80,2.085000,0.948016286,48.3031273
81,2.109000,0.960016847,48.6531067
82,2.133000,0.971517384,48.5538673
83,2.162000,0.986018062,48.500042
84,2.185000,0.998018622,48.708252
85,2.218000,0.985999346,48.3885841
86,2.243000,0.973498762,48.6332245
87,2.272000,0.958998084,48.3281174
88,2.307000,0.941497266,48.6811256
89,2.332000,0.928996682,48.5256958
90,2.355000,0.916996121,48.5034027
91,2.379000,0.905495584,48.7235222
92,2.403000,0.892995,48.2996559
93,2.427000,0.881494462,48.717308
94,2.454000,0.867993832,48.5893478
95,2.489000,0.850493014,48.608654
96,2.516000,0.836992383,48.6158905
97,2.542000,0.823491752,48.4760132
98,2.566000,0.811991215,48.6478004
99,2.591000,0.799490631,48.5258293
100,2.614000,0.787990093,48.4993439
101,2.645000,0.771989346,48.6610451
102,2.673000,0.758488715,48.4785614
103,2.701000,0.74448806,48.7232513
104,2.727000,0.731487453,48.3007736
105,2.754000,0.717986822,48.7316475
106,2.778000,0.705486238,48.5890579
107,2.802000,0.693485677,48.4812279
108,2.826000,0.68198514,48.6405945
109,2.850000,0.669984579,48.5087776
110,2.876000,0.656983972,48.5144615
111,2.903000,0.642983317,48.6468811
112,2.931000,0.629482687,48.4763031
113,2.955000,0.617482126,48.6306839
114,2.979000,0.604981542,48.4909363
115,3.005000,0.592480958,48.5569687
116,3.033000,0.57798028,48.646553
117,3.058000,0.565979719,48.4213867
118,3.082000,0.553479135,48.6481247
119,3.106000,0.541978598,48.5257378
120,3.134000,0.527977943,48.5936928
121,3.161000,0.514477313,48.6660538
122,3.192000,0.498976678,48.4869194
123,3.237000,0.476476967,48.5257797
124,3.260000,0.464477122,48.4967155
125,3.284000,0.452477276,48.708622
126,3.308000,0.440977424,48.3325996
127,3.332000,0.428977579,48.721981
128,3.361000,0.414477766,48.5716133
129,3.385000,0.401977926,48.4637222
130,3.417000,0.386478126,48.7312889
131,3.451000,0.369478345,48.484642
132,3.481000,0.354478538,48.7313423
133,3.506000,0.341978699,48.3386993
134,3.531000,0.328978866,48.6512146
135,3.555000,0.316979021,48.5886154
136,3.579000,0.305479169,48.479351
137,3.602000,0.293979317,48.6557541
138,3.630000,0.279479504,48.3533478
139,3.657000,0.265979677,48.7046585
140,3.683000,0.253479838,48.559742
141,3.716000,0.236980051,48.595993
142,3.753000,0.218480289,48.558033
143,3.776000,0.206980437,48.4848137
144,3.800000,0.194980592,48.6562157
145,3.822000,0.183980733,48.3800774
146,3.846000,0.171980888,48.5641708
147,3.869000,0.159981042,48.7317429
148,3.897000,0.146481216,48.3589745
149,3.924000,0.132481396,48.6454697
150,3.983000,0.103481442,48.8326912
151,4.005000,0.0919814184,48.6188278
152,4.029000,0.0804813951,48.5090485
153,4.053000,0.0689813718,48.6679153
154,4.076000,0.0569813475,48.4066849
155,4.099000,0.0449813232,48.1717911
156,4.124000,0.0329812989,47.9320221
157,4.152000,0.0189813171,46.9675598
158,4.179000,0.00548132043,46.9597511
159,4.202000,-0.00601868099,46.1869888
160,4.247000,-0.02851866,45.3117905
161,4.272000,-0.041018676,44.2754021
162,4.294000,-0.0525186993,43.2664833
163,4.319000,-0.0645187199,42.9912033
164,4.343000,-0.0765187442,42.2569809
165,4.367000,-0.0885187685,41.2271729
166,4.395000,-0.102518797,40.7481041
167,4.421000,-0.115518823,39.5205383
168,4.453000,-0.132018745,38.2311478
169,4.495000,-0.152018487,36.6994667
170,4.519000,-0.16501832,35.4137535
171,4.543000,-0.176518172,34.3258095
172,4.567000,-0.188518018,33.3921051
173,4.591000,-0.200517863,32.1210289
174,4.614000,-0.212517709,30.7241173
175,4.640000,-0.225017548,29.4115696
176,4.667000,-0.239017367,28.1030998
177,4.692000,-0.250517219,26.7591
178,4.728000,-0.269016981,24.3514576
179,4.755000,-0.283016801,22.6676655
180,4.780000,-0.294516653,21.2947311
181,4.804000,-0.307516485,19.79916
182,4.828000,-0.319516331,18.1703663
183,4.852000,-0.331516176,16.4164124
184,4.877000,-0.343516022,14.737689
185,4.904000,-0.357015848,12.7158689
186,4.940000,-0.375015616,10.2348757
187,4.975000,-0.392515391,7.63466787
188,5.003000,-0.407015204,5.42071962
189,5.028000,-0.41901505,3.59568477
190,5.051000,-0.430514902,1.43008292
191,5.074000,-0.442514747,-0.600546837
192,5.098000,-0.454514593,-2.30188394
193,5.121000,-0.466014445,-3.64663315
194,5.148000,-0.479514271,-5.21441936
195,5.172000,-0.491014123,-6.56134987
